Name,Traits,Traits2,Traits3
Aatrox,Shimmerscale,Warrior,
Ezreal,Tempest,Swiftshot,
Heimerdinger,Mage,Trainer,
Karma,Dragonmancer,Jade,
Leona,Mirage,Guardian,
Nidalee,Astral,Shapeshifter,
Sejuani,Guild,Cavalier,
Senna,Ragewing,Cannoneer,
Sett,Ragewing,Dragonmancer,
Skarner,Astral,Bruiser,
Tahm Kench,Revel,Bruiser,
Taric,Jade,Guardian,
Vladimir,Astral,Mage,
Corki,Revel,Cannoneer,
Hecarim,Ragewing,Cavalier,
Neeko,Jade,Shapeshifter,
Ornn,Tempest,Bruiser,Legend
Sona,Revel,Evoker,
Talon,Guild,Assassin,
Xayah,Ragewing,Swiftshot,
Bard,Guild,Bard,Mystic
Pyke,Whispers,Assassin,
Soraka,Jade,Starcaller,
Yasuo,Mirage,Dragonmancer,Warrior
Zoe,Shimmerscale,Mage,Spell-theif
Ashe,Jade,Dragonmancer,Swiftshot
Braum,Scalescorn,Guardian,
Gnar,Jade,Shapeshifter,
Jinx,Revel,Cannoneer,
Kayn,Ragewing,Shimmerscale,Assassin
Lillia,Scalescorn,Cavalier,Mage
Nami,Astral,Mage,Mystic
Qiyana,Tempest,Assassin,
Shen,Ragewing,Bruiser,Warrior
Thresh,Whispers,Guardian,
Tristana,Trainer,Cannoneer,
Twitch,Guild,Swiftshot,
Yone,Mirage,Warrior,
Anivia,Jade,Evoker,Legend
Diana,Scalescorn,Assassin,
Elise,Whispers,Shapeshifter,
Illaoi,Astral,Bruiser,
Lee Sin,Tempest,Dragonmancer,
Lulu,Trainer,Mystic,Evoker
Nunu,Mirage,Cavalier,
Olaf,Scalescorn,Bruiser,Warrior
Ryze,Guild,Mage,
Swain,Ragewing,Dragonmancer,Shapeshifter
Sylas,Whispers,Mage,Bruiser
Varus,Astral,Swiftshot,
Daeja,Mirage,Dragon,
Idas,Shimmerscale,Dragon,Guardian
Shi Oh Yu,Jade,Mystic,Dragon
Syfen,Whispers,Bruiser,Dragon
Ao Shin,Tempest,Dragon,
Aurelion Sol,Astral,Evoker,Dragon
Shyvana,Ragewing,Shapeshifter,Dragon
